year,gdp,gdp_price,consumption,consumption_price,x,y
1978,385,100,184,100,385,184
1979,423,106.2,208,106.9,398.3050847,194.5743686
1980,468,113.1,238,116.8,413.7931034,203.7671233
1981,497,117.3,264,126.2,423.6999147,209.1917591
1982,533,126,288,134.8,423.015873,213.6498516
1983,588,137.6,316,145.8,427.3255814,216.7352538
1984,702,156.4,361,163.2,448.8491049,221.2009804
1985,866,175.1,440,181.3,494.5745288,242.6916713
1986,973,187.9,497,194,517.8286323,256.185567
1987,1123,206.5,565,205.5,543.8256659,274.9391727
1988,1378,226,714,221.5,609.7345133,322.3476298
1989,1536,231.9,788,221,662.3544631,356.561086
1990,1663,237.5,831,227.5,700.2105263,365.2747253
1991,1912,256,932,249,746.875,374.2971888
1992,2334,288.8,1116,282,808.1717452,395.7446809
1993,3027,325.1,1393,305.8,931.0981237,455.5264879
1994,4081,363.4,1833,320,1123.004953,572.8125
1995,5091,398.9,2330,339.8,1276.259714,685.6974691
1996,5898,433.9,2789,377.6,1359.299378,738.6122881
1997,6481,469.1,3002,394.6,1381.581752,760.7704004
1998,6860,501.1,3159,417.8,1368.988226,756.1033988
1999,7229,534.8,3346,452.3,1351.720269,739.774486
2000,7942,575.7,3721,493.1,1379.537954,754.6136686
2001,8717,619.1,3987,523.2,1408.01163,762.0412844
2002,9506,671.2,4301,567.3,1416.269368,758.1526529
2003,10666,734,4606,600,1453.133515,767.6666667
2004,12487,803.4,5138,643,1554.269355,799.066874
2005,14368,889.7,5771,705.4,1614.92638,818.1173802
2006,16738,997.3,6416,765,1678.331495,838.6928105
2007,20505,1133.3,7572,862.6,1809.317921,877.8112683
2008,24121,1236.3,8707,934.3,1951.063658,931.9276464
2009,26222,1345.8,9514,1026.1,1948.432159,927.200078
2010,30876,1481.8,10918.518,1124.5177,2083.682008,970.9511909
2011,36403,1615.4,13133.5504,1248.6434,2253.497586,1051.825557
2012,40007,1733.8,14698.8612,1361.9686,2307.474911,1079.236423
2013,43852,1859.1,16190.1975,1461.9988,2358.775752,1107.401559
2014,47203,1984.7,17777.9859,1574.5892,2378.344334,1129.055496
2015,50251,2110.9,19397.3321,1692.57,2380.548581,1146.028353
2016,53980,2240.6,21227.8772,1820.5,2409.176114,1166.046537
2017,59201,2380.8,22902,1928.6,2486.601142,1187.493519
2018,64644,2524.5,25002,2060.2,2560.665478,1213.571498
